project_id,project_name,project_domain,section_name,mode,model_name,generated_text,used_chunks
hr_muiv,Система учета сотрудников,учет кадров в вузе,Основания для разработки,baseline,anthropic/claude-sonnet-4-20250514,"# 1. ОСНОВАНИЯ ДЛЯ РАЗРАБОТКИ

## 1.1 Документ, на основании которого ведется разработка

Разработка информационной системы учета сотрудников ведется на основании приказа ректора частного образовательного учреждения высшего образования «Московский университет имени С. Ю. Витте» о создании автоматизированной системы управления кадровыми процессами.

## 1.2 Организация, утвердившая документ

Частное образовательное учреждение высшего образования «Московский университет имени С. Ю. Витте».

## 1.3 Наименование и условное обозначение темы разработки

Наименование темы: «Разработка информационной системы учета сотрудников образовательного учреждения».

Условное обозначение: ИС-УС-2024.

## 1.4 Плановые сроки начала и окончания работы по созданию системы

Начало разработки: январь 2024 года.
Окончание разработки и ввод в эксплуатацию: декабрь 2024 года.

## 1.5 Сведения об источниках и порядке финансирования работ

Финансирование работ по созданию информационной системы осуществляется за счет собственных средств частного образовательного учреждения высшего образования «Московский университет имени С. Ю. Витте» в рамках программы цифровизации административно-управленческих процессов университета.

## 1.6 Порядок оформления и предъявления заказчику результатов работ по созданию системы

Результаты работ предъявляются заказчику поэтапно в соответствии с календарным планом проекта. Приемка осуществляется комиссией, назначаемой приказом ректора, с участием представителей кадровой службы, IT-отдела и пользователей системы. Окончательная приемка производится после успешного завершения опытной эксплуатации системы в течение одного месяца.",
hr_muiv,Система учета сотрудников,учет кадров в вузе,Основания для разработки,rag_gost,anthropic/claude-sonnet-4-20250514,"# 2. ОСНОВАНИЯ ДЛЯ РАЗРАБОТКИ

Разработка информационной системы учета сотрудников частного образовательного учреждения высшего образования «Московский университет имени С. Ю. Витте» осуществляется на основании следующих документов и обстоятельств:

**2.1.** Федеральный закон от 29.12.2012 № 273-ФЗ «Об образовании в Российской Федерации», устанавливающий требования к ведению кадрового учета в образовательных организациях высшего образования.

**2.2.** Трудовой кодекс Российской Федерации от 30.12.2001 № 197-ФЗ, регламентирующий порядок ведения кадрового делопроизводства и учета персонала.

**2.3.** Постановление Правительства РФ от 16.03.2011 № 174 «Об утверждении Положения о лицензировании образовательной деятельности», определяющее требования к кадровому обеспечению образовательных программ.

**2.4.** Приказ Минобрнауки России от 05.04.2017 № 301 «Об утверждении Порядка организации и осуществления образовательной деятельности по образовательным программам высшего образования», устанавливающий квалификационные требования к педагогическим работникам.

**2.5.** Устав частного образовательного учреждения высшего образования «Московский университет имени С. Ю. Витте» и внутренние локальные нормативные акты университета, регулирующие кадровую политику и документооборот.

**2.6.** Необходимость повышения эффективности управления кадровыми ресурсами университета путем автоматизации процессов учета штатного и совместительского персонала, обеспечения оперативного доступа к кадровой информации и формирования аналитических отчетов для принятия управленческих решений.

**2.7.** Потребность в обеспечении соответствия кадрового состава университета лицензионным требованиям и требованиям государственной аккредитации образовательных программ.

**2.8.** Решение руководства университета о модернизации информационной инфраструктуры и внедрении современных средств автоматизации административно-управленческих процессов.

Настоящее техническое задание разработано в соответствии с требованиями ГОСТ 19.201-78 «Техническое задание. Требования к содержанию и оформлению».","chunk_1, chunk_146, chunk_147, chunk_148, chunk_149, chunk_150, chunk_151, chunk_152"
hr_muiv,Система учета сотрудников,учет кадров в вузе,Основания для разработки,rag_full,anthropic/claude-sonnet-4-20250514,"# 2. ОСНОВАНИЯ ДЛЯ РАЗРАБОТКИ

Разработка информационной системы учета сотрудников ЧОУ ВО «Московский университет имени С. Ю. Витте» осуществляется на основании следующих документов и обстоятельств:

## 2.1. Нормативные документы

- Федеральный закон от 29.12.2012 № 273-ФЗ «Об образовании в Российской Федерации»;
- Трудовой кодекс Российской Федерации от 30.12.2001 № 197-ФЗ;
- Федеральный закон от 27.07.2006 № 152-ФЗ «О персональных данных»;
- Устав ЧОУ ВО «Московский университет имени С. Ю. Витте»;
- Положение о кадровой службе университета;
- Приказ ректора университета о создании информационной системы учета сотрудников.

## 2.2. Основания для создания системы

Необходимость разработки информационной системы учета сотрудников обусловлена:

- отсутствием единой автоматизированной системы ведения кадрового учета в университете;
- необходимостью повышения эффективности работы кадровой службы и оперативности получения информации о персонале;
- требованием обеспечения достоверности и актуальности кадровых данных для принятия управленческих решений;
- потребностью в автоматизации процессов формирования отчетности по кадровому составу для руководства университета и контролирующих органов;
- необходимостью централизованного хранения и обработки персональных данных сотрудников в соответствии с требованиями законодательства о защите персональных данных.

## 2.3. Документы, послужившие основанием для разработки

- Результаты обследования существующих процессов кадрового учета в университете;
- Техническое предложение по созданию информационной системы учета сотрудников;
- Решение ученого совета университета о необходимости автоматизации кадрового учета;
- Заключение службы информационной безопасности университета о требованиях к защите персональных данных в проектируемой системе.","chunk_2, chunk_1, chunk_61, chunk_284, chunk_90, chunk_365, chunk_420, chunk_388"
hr_muiv,Система учета сотрудников,учет кадров в вузе,Назначение системы,baseline,anthropic/claude-sonnet-4-20250514,"# 2. НАЗНАЧЕНИЕ СИСТЕМЫ

## 2.1 Назначение разработки

Информационная система учета сотрудников предназначена для автоматизации процессов кадрового учета в частном образовательном учреждении высшего образования «Московский университет имени С. Ю. Витте».

Система обеспечивает централизованное ведение кадровой документации, оперативный поиск информации о сотрудниках и формирование аналитических отчетов для принятия управленческих решений в области кадровой политики университета.

## 2.2 Область применения

Система предназначена для использования:

- службой управления персоналом университета для ведения кадрового учета и документооборота;
- руководством структурных подразделений для получения информации о подчиненных сотрудниках;
- административно-управленческим аппаратом университета для анализа кадрового состава и планирования кадровой политики;
- бухгалтерией для получения данных о штатном составе при расчете заработной платы.

Система охватывает учет всех категорий сотрудников университета: профессорско-преподавательского состава, административно-управленческого персонала, учебно-вспомогательного и обслуживающего персонала, работающих как на постоянной основе, так и по совместительству.

## 2.3 Цели создания системы

Основными целями создания системы являются:

- повышение эффективности работы кадровой службы за счет автоматизации рутинных операций по ведению кадрового учета;
- обеспечение оперативного доступа к актуальной информации о сотрудниках университета;
- минимизация временных затрат на поиск и обработку кадровой информации;
- повышение качества кадрового планирования и анализа за счет автоматизированного формирования отчетности;
- обеспечение достоверности и целостности кадровых данных;
- создание единого информационного пространства для кадрового учета в университете.",
hr_muiv,Система учета сотрудников,учет кадров в вузе,Назначение системы,rag_gost,anthropic/claude-sonnet-4-20250514,"# 3. НАЗНАЧЕНИЕ СИСТЕМЫ

## 3.1 Функциональное назначение

Система учета сотрудников предназначена для автоматизации процессов управления кадровой информацией в частном образовательном учреждении высшего образования «Московский университет имени С. Ю. Витте».

Система обеспечивает:
- централизованное ведение и хранение персональных данных штатных сотрудников и совместителей;
- автоматизированный поиск и фильтрацию кадровой информации по должностям и структурным подразделениям;
- формирование аналитических отчетов для кадровой службы и руководства университета;
- поддержку принятия управленческих решений в области кадровой политики.

## 3.2 Эксплуатационное назначение

Система предназначена для эксплуатации в условиях образовательного учреждения высшего образования и должна обеспечивать:
- повышение эффективности работы кадровой службы за счет автоматизации рутинных операций по ведению учета персонала;
- сокращение временных затрат на поиск и обработку кадровой информации;
- обеспечение достоверности и актуальности данных о сотрудниках;
- унификацию процедур кадрового учета в соответствии с требованиями трудового законодательства и внутренними регламентами университета.

Система должна функционировать в многопользовательском режиме с разграничением прав доступа в зависимости от должностных обязанностей пользователей.

## 3.3 Условия эксплуатации

Система должна эксплуатироваться в помещениях кадровой службы и административных подразделений университета при соблюдении требований по защите персональных данных в соответствии с Федеральным законом от 27.07.2006 № 152-ФЗ «О персональных данных».","chunk_1, chunk_146, chunk_147, chunk_148, chunk_149, chunk_150, chunk_151, chunk_152"
hr_muiv,Система учета сотрудников,учет кадров в вузе,Назначение системы,rag_full,anthropic/claude-sonnet-4-20250514,"# 3. НАЗНАЧЕНИЕ СИСТЕМЫ

## 3.1 Назначение системы

Система учета сотрудников предназначена для автоматизации деятельности по управлению кадровым составом в частном образовательном учреждении высшего образования «Московский университет имени С. Ю. Витте».

Объектом автоматизации является кадровое делопроизводство университета, включающее процессы учета, хранения и обработки информации о штатном и совместительском персонале всех структурных подразделений университета.

Система предназначена для использования в следующих подразделениях университета:
- отдел кадров;
- деканаты факультетов;
- кафедры;
- административно-управленческие подразделения;
- руководство университета.

## 3.2 Цели создания системы

Основными целями создания системы являются:

- обеспечение централизованного ведения базы данных сотрудников университета с возможностью оперативного доступа к актуальной кадровой информации;

- повышение эффективности работы кадровой службы за счет автоматизации процессов поиска, обработки и анализа кадровых данных;

- обеспечение руководства университета и структурных подразделений достоверной и своевременной отчетностью по кадровому составу;

- создание единого информационного пространства для управления кадровыми ресурсами университета;

- снижение трудозатрат на ведение кадрового учета и формирование отчетности;

- обеспечение соответствия кадрового учета требованиям действующего законодательства и внутренним регламентам университета.","chunk_2, chunk_61, chunk_284, chunk_1, chunk_90, chunk_30, chunk_364, chunk_420"
hr_muiv,Система учета сотрудников,учет кадров в вузе,Требования к системе,baseline,anthropic/claude-sonnet-4-20250514,"# 3. ТРЕБОВАНИЯ К СИСТЕМЕ

## 3.1 Требования к системе в целом

### 3.1.1 Требования к структуре и функционированию системы

Система учета сотрудников должна обеспечивать автоматизацию процессов кадрового учета в частном образовательном учреждении высшего образования «Московский университет имени С. Ю. Витте».

Система должна функционировать в составе следующих основных подсистем:
- подсистема ведения личных дел сотрудников;
- подсистема учета штатного расписания;
- подсистема формирования отчетности;
- подсистема поиска и фильтрации данных;
- подсистема администрирования и управления доступом.

Система должна обеспечивать централизованное хранение и обработку кадровых данных с возможностью одновременной работы не менее 20 пользователей.

### 3.1.2 Требования к численности и квалификации персонала

Для эксплуатации системы требуется персонал следующих категорий:
- администратор системы — 1 человек с высшим техническим образованием и опытом администрирования информационных систем не менее 2 лет;
- специалисты кадровой службы — не более 5 человек с навыками работы с персональным компьютером на уровне уверенного пользователя;
- руководящий персонал — не ограничено, с базовыми навыками работы с компьютером.

## 3.2 Требования к функциям, выполняемым системой

### 3.2.1 Функции ведения кадровых данных

Система должна обеспечивать:
- ввод, хранение и редактирование персональных данных сотрудников (ФИО, дата рождения, паспортные данные, контактная информация);
- ведение сведений о трудовой деятельности (должность, подразделение, дата приема, условия трудового договора);
- учет образования и квалификации сотрудников;
- фиксацию изменений в трудовых отношениях (переводы, изменения должностных окладов, отпуска, командировки);
- ведение данных о штатных сотрудниках и внешних совместителях.

### 3.2.2 Функции поиска и фильтрации

Система должна обеспечивать поиск сотрудников по следующим критериям:
- фамилия, имя, отчество (полное и частичное совпадение);
- должность;
- структурное подразделение;
- дата приема на работу;
- тип трудовых отношений (штатный сотрудник, совместитель).

### 3.2.3 Функции формирования отчетности

Система должна формировать следующие виды отчетов:
- списочный состав сотрудников по подразделениям;
- штатное расписание с указанием занятых и вакантных должностей;
- сведения о движении кадров за указанный период;
- статистические отчеты по возрастному составу, образованию, стажу работы;
- отчеты для представления в контролирующие органы.

## 3.3 Требования к видам обеспечения

### 3.3.1 Требования к математическому обеспечению

Система должна использовать стандартные алгоритмы:
- сортировки и поиска данных;
- формирования отчетов;
- резервного копирования и восстановления данных.

### 3.3.2 Требования к информационному обеспечению

Система должна обеспечивать хранение и обработку следующих групп данных:
- персональные данные сотрудников;
- данные о структуре университета (факультеты, кафедры, отделы);
- справочники должностей и квалификационных требований;
- данные о трудовых договорах и дополнительных соглашениях.

Структура базы данных должна соответствовать требованиям нормализации и обеспечивать целостность хранимой информации.

### 3.3.3 Требования к лингвистическому обеспечению

Интерфейс системы должен быть выполнен на русском языке. Система должна поддерживать ввод и отображение текстовой информации в кодировке UTF-8.

### 3.3.4 Требования к программному обеспечению

Система должна функционировать под управлением операционных систем семейства Windows (версии 10 и выше) или Linux. Для работы с базой данных должна использоваться СУБД, поддерживающая стандарт SQL.

### 3.3.5 Требования к техническому обеспечению

Минимальные требования к серверному оборудованию:
- процессор с частотой не менее 2,0 ГГц;
- оперативная память не менее 4 ГБ;
- дисковое пространство не менее 100 ГБ;
- сетевой интерфейс 100 Мбит/с.

Минимальные требования к рабочим местам пользователей:
- процессор с частотой не менее 1,5 ГГц;
- оперативная память не менее 2 ГБ;
- монитор с разрешением не менее 1024×768 пикселей.",
hr_muiv,Система учета сотрудников,учет кадров в вузе,Требования к системе,rag_gost,anthropic/claude-sonnet-4-20250514,"# 4. ТРЕБОВАНИЯ К СИСТЕМЕ

## 4.1. Требования к системе в целом

### 4.1.1. Требования к структуре и функционированию системы

Система учета сотрудников должна представлять собой единую информационную систему, обеспечивающую автоматизацию процессов кадрового учета в частном образовательном учреждении высшего образования «Московский университет имени С. Ю. Витте».

Система должна обеспечивать:
- централизованное хранение и обработку персональных данных штатных и совместительских сотрудников;
- ведение актуальной информации о кадровом составе университета;
- поддержку многопользовательского режима работы с разграничением прав доступа;
- интеграцию с существующими информационными системами университета.

### 4.1.2. Требования к численности и квалификации пользователей

Система должна обеспечивать одновременную работу не менее 20 пользователей различных категорий:
- специалисты кадровой службы (до 5 пользователей);
- руководители структурных подразделений (до 10 пользователей);
- административно-управленческий персонал (до 5 пользователей).

Система должна предоставлять интуитивно понятный интерфейс, не требующий специальной подготовки пользователей в области информационных технологий.

## 4.2. Требования к функциям, выполняемым системой

### 4.2.1. Функции ведения кадровой информации

Система должна обеспечивать:
- регистрацию и ведение личных карточек сотрудников с указанием персональных данных, образования, трудового стажа, занимаемых должностей;
- учет штатных и совместительских сотрудников с указанием типа трудовых отношений;
- ведение информации о структурных подразделениях университета и их штатном расписании;
- фиксацию кадровых перемещений, изменений должностных обязанностей и условий труда;
- архивирование данных об уволенных сотрудниках с возможностью их восстановления.

### 4.2.2. Функции поиска и фильтрации

Система должна предоставлять возможности:
- поиска сотрудников по фамилии, имени, отчеству с поддержкой нечеткого поиска;
- фильтрации по должности, структурному подразделению, типу трудовых отношений;
- формирования списков сотрудников по заданным критериям;
- быстрого доступа к часто используемым запросам.

### 4.2.3. Функции формирования отчетности

Система должна обеспечивать формирование следующих видов отчетов:
- списочный состав сотрудников по подразделениям;
- штатное расписание с указанием занятых и вакантных должностей;
- сводные данные о кадровом составе для руководства;
- статистические отчеты по возрастному составу, образованию, стажу работы;
- отчеты для предоставления в контролирующие органы.

## 4.3. Требования к видам обеспечения

### 4.3.1. Требования к математическому обеспечению

Система должна использовать стандартные алгоритмы обработки текстовой информации, включая алгоритмы нечеткого поиска и сортировки данных.

### 4.3.2. Требования к информационному обеспечению

Система должна обеспечивать:
- структурированное хранение данных в реляционной базе данных;
- соответствие структуры данных требованиям трудового законодательства Российской Федерации;
- возможность импорта данных из внешних источников в стандартных форматах;
- резервное копирование и восстановление информации.

### 4.3.3. Требования к лингвистическому обеспечению

Интерфейс системы должен быть выполнен на русском языке. Система должна поддерживать ввод и отображение текстовой информации в кодировке UTF-8.

### 4.3.4. Требования к программному обеспечению

Система должна функционировать под управлением операционных систем семейства Windows (версии 10 и выше) или Linux. Для работы с системой должны использоваться стандартные веб-браузеры.

### 4.3.5. Требования к техническому обеспечению

Система должна функционировать на серверном оборудовании с характеристиками:
- процессор: не менее 4 ядер с частотой 2,4 ГГц;
- оперативная память: не менее 8 ГБ;
- дисковое пространство: не менее 500 ГБ для хранения данных.

Рабочие места пользователей должны соответствовать минимальным системным требованиям для работы с веб-приложениями.

## 4.4. Требования к надежности

Система должна обеспечивать:
- коэффициент готовности не менее 0,95;
- время восстановления работоспособности после сбоя не более 4 часов;
- автоматическое резервное копирование данных не реже одного раза в сутки;
- контроль целостности данных при выполнении операций.

## 4.5. Требования к безопасности

Система должна обеспечивать:
- аутентификацию пользователей по логину и паролю;
- разграничение прав доступа в соответствии с должностными обязанностями пользователей;
- протоколирование действий пользователей с возможностью аудита;
- защиту персональных данных в соответствии с требованиями Федерального закона «О персональных данных»;
- шифрование данных при передаче по сети.","chunk_1, chunk_146, chunk_147, chunk_148, chunk_149, chunk_150, chunk_151, chunk_152"
hr_muiv,Система учета сотрудников,учет кадров в вузе,Требования к системе,rag_full,anthropic/claude-sonnet-4-20250514,"# 4. ТРЕБОВАНИЯ К СИСТЕМЕ

## 4.1. Требования к системе в целом

Система учета сотрудников должна обеспечивать автоматизацию процессов кадрового учета в ЧОУ ВО «Московский университет имени С. Ю. Витте» в соответствии с требованиями трудового законодательства Российской Федерации и внутренними нормативными документами университета.

Система должна функционировать в многопользовательском режиме с разграничением прав доступа в зависимости от категории пользователей. Обеспечивается одновременная работа не менее 50 пользователей без снижения производительности.

Система должна обеспечивать целостность, достоверность и актуальность кадровых данных, а также их защиту от несанкционированного доступа в соответствии с требованиями Федерального закона «О персональных данных» от 27.07.2006 № 152-ФЗ.

Время отклика системы на запросы пользователей не должно превышать 3 секунд при стандартной нагрузке. Коэффициент готовности системы должен составлять не менее 0,98.

## 4.2. Требования к функциям, выполняемым системой

### 4.2.1. Ведение кадровых данных

Система должна обеспечивать:
- ведение личных карточек сотрудников с полным набором персональных данных, сведений об образовании, трудовой деятельности, семейном положении;
- учет штатных и внештатных сотрудников, включая совместителей;
- ведение должностных инструкций и квалификационных требований;
- фиксацию кадровых перемещений, изменений должностных окладов, присвоения ученых степеней и званий.

### 4.2.2. Управление организационной структурой

Система должна поддерживать:
- ведение справочника структурных подразделений университета (факультеты, кафедры, административные службы);
- управление штатным расписанием с указанием количества ставок по каждой должности;
- отслеживание вакантных должностей и укомплектованности подразделений.

### 4.2.3. Поиск и фильтрация данных

Система должна обеспечивать поиск сотрудников по следующим критериям:
- фамилия, имя, отчество (с поддержкой нечеткого поиска);
- структурное подразделение;
- должность;
- категория персонала (профессорско-преподавательский состав, административно-управленческий персонал, учебно-вспомогательный персонал);
- тип трудовых отношений (основное место работы, внутреннее совместительство, внешнее совместительство).

### 4.2.4. Формирование отчетности

Система должна формировать следующие отчеты:
- списочный состав сотрудников по подразделениям;
- штатное расписание с указанием занятых и вакантных должностей;
- сведения о возрастном составе персонала;
- отчеты о движении кадров за указанный период;
- статистические отчеты для представления в контролирующие органы.

## 4.3. Требования к видам обеспечения

### 4.3.1. Требования к информационному обеспечению

Система должна содержать следующие основные информационные объекты:
- личные данные сотрудников;
- организационная структура университета;
- штатное расписание;
- справочники должностей, подразделений, типов документов.

Структура базы данных должна обеспечивать нормализацию данных и исключать избыточность информации.

### 4.3.2. Требования к программному обеспечению

Система должна функционировать под управлением операционных систем семейства Windows Server (версия не ниже 2016) или Linux (дистрибутивы на базе ядра версии не ниже 4.0).

В качестве системы управления базами данных должна использоваться PostgreSQL версии не ниже 12.0 или Microsoft SQL Server версии не ниже 2017.

Клиентская часть должна функционировать в современных веб-браузерах с поддержкой HTML5 и JavaScript.

### 4.3.3. Требования к техническому обеспечению

Минимальные требования к серверному оборудованию:
- процессор: 4-ядерный с частотой не менее 2,4 ГГц;
- оперативная память: не менее 16 ГБ;
- дисковое пространство: не менее 500 ГБ с возможностью расширения.

Требования к рабочим местам пользователей:
- процессор: 2-ядерный с частотой не менее 2,0 ГГц;
- оперативная память: не менее 4 ГБ;
- разрешение экрана: не менее 1366×768 пикселей.

### 4.3.4. Требования к защите информации

Система должна обеспечивать:
- аутентификацию пользователей по логину и паролю;
- разграничение прав доступа на уровне функций и данных;
- протоколирование действий пользователей;
- шифрование персональных данных при хранении и передаче;
- резервное копирование данных с возможностью восстановления.

Система должна соответствовать требованиям к защите персональных данных 1-го класса защищенности согласно Постановлению Правительства РФ от 01.11.2012 № 1119.","chunk_2, chunk_398, chunk_61, chunk_284, chunk_1, chunk_90, chunk_364, chunk_420"
vkr_support,Система поддержки ВКР,образовательные процессы в вузе,Основания для разработки,baseline,anthropic/claude-sonnet-4-20250514,"# 1. ОСНОВАНИЯ ДЛЯ РАЗРАБОТКИ

## 1.1 Документ, на основании которого ведется разработка

Разработка информационной системы поддержки выпускных квалификационных работ (далее — ИС ВКР) ведется на основании:

- Федерального закона от 29.12.2012 № 273-ФЗ «Об образовании в Российской Федерации»;
- Приказа Минобрнауки России от 29.06.2015 № 636 «Об утверждении Порядка проведения государственной итоговой аттестации по образовательным программам высшего образования — программам бакалавриата, программам специалитета и программам магистратуры»;
- Федеральных государственных образовательных стандартов высшего образования;
- Положения о выпускных квалификационных работах образовательной организации;
- Решения руководства образовательной организации о необходимости автоматизации процессов подготовки и хранения выпускных квалификационных работ.

## 1.2 Наименование и условное обозначение темы разработки

Наименование темы разработки: «Информационная система поддержки выпускных квалификационных работ».

Условное обозначение: ИС ВКР.

## 1.3 Плановые сроки начала и окончания работы по созданию системы

Сроки разработки и внедрения ИС ВКР определяются техническим заданием и календарным планом проекта, согласованным с заказчиком.

Начало работ планируется с момента утверждения настоящего технического задания.

Окончание работ по созданию системы планируется к началу периода подготовки выпускных квалификационных работ в соответствии с учебным планом образовательной организации.

## 1.4 Сведения об источниках и порядке финансирования работ

Источники финансирования и порядок финансирования работ по созданию ИС ВКР определяются в соответствии с договором между заказчиком и исполнителем или внутренними распорядительными документами образовательной организации при выполнении работ собственными силами.",
